Index,Sentiment,Date
0,0.5580888888888889,2016-01-05
1,0.14060555555555554,2016-01-06
2,-0.0926,2016-01-07
3,0.3696642857142857,2016-01-08
4,0.45188999999999996,2016-01-09
5,0.3666153846153846,2016-01-10
6,0.3493363636363636,2016-01-11
7,0.4010416666666667,2016-01-12
8,-0.02708666666666665,2016-01-13
9,0.0515714285714286,2016-01-14
10,0.4709,2016-01-15
11,0.15989999999999996,2016-01-16
12,0.13504999999999998,2016-01-17
13,0.7028571428571428,2016-01-18
14,0.33881764705882356,2016-01-19
15,0.433623076923077,2016-01-20
16,-0.018886666666666684,2016-01-21
17,0.020974193548387105,2016-01-22
18,0.32417999999999997,2016-01-23
19,0.3362736842105263,2016-01-24
20,0.06449565217391305,2016-01-25
21,0.006761290322580649,2016-01-26
22,0.049339999999999995,2016-01-27
23,0.1181909090909091,2016-01-28
24,0.40633500000000006,2016-01-29
25,0.3998,2016-01-30
26,0.16188235294117645,2016-01-31
27,0.49665,2016-02-01
28,0.5046437500000001,2016-02-02
29,-0.19753999999999997,2016-02-03
30,0.18960000000000002,2016-02-04
31,0.2648333333333333,2016-02-05
32,0.04542,2016-02-06
33,0.352108,2016-02-07
34,0.17229999999999998,2016-02-08
35,0.34110666666666667,2016-02-09
36,0.2086,2016-02-10
37,-0.06248461538461537,2016-02-11
38,-0.13703157894736842,2016-02-12
39,0.22174,2016-02-13
40,0.08152380952380953,2016-02-14
41,-0.19647777777777778,2016-02-15
42,0.5827500000000001,2016-02-16
43,-0.14606666666666668,2016-02-17
44,0.19235714285714287,2016-02-18
45,0.3031526315789474,2016-02-19
46,0.01151666666666665,2016-02-20
47,0.33594,2016-02-21
48,-0.0982722222222222,2016-02-22
49,0.28012758620689654,2016-02-23
50,0.2524227272727273,2016-02-24
51,0.12002500000000005,2016-02-25
52,0.22994285714285717,2016-02-26
53,0.2804631578947368,2016-02-27
54,0.03203571428571427,2016-02-28
55,0.38336153846153853,2016-02-29
56,0.3988083333333334,2016-03-01
57,0.2517333333333333,2016-03-02
58,0.1936684210526316,2016-03-03
59,0.11890769230769233,2016-03-04
60,0.293045,2016-03-05
61,0.27208666666666664,2016-03-06
62,0.004971428571428571,2016-03-07
63,0.1602681818181818,2016-03-08
64,0.20648000000000005,2016-03-09
65,-0.3086,2016-03-10
66,0.41761875,2016-03-11
67,0.17512941176470592,2016-03-12
68,-0.16647272727272727,2016-03-13
69,0.14355714285714288,2016-03-14
70,0.05206551724137932,2016-03-15
71,0.4628115384615385,2016-03-16
72,-0.04222307692307692,2016-03-17
73,-0.08595333333333334,2016-03-18
74,0.30794615384615387,2016-03-19
75,0.2988733333333334,2016-03-20
76,-0.4199,2016-03-21
77,-0.22184615384615386,2016-03-22
78,0.04644666666666668,2016-03-23
79,-0.14608,2016-03-24
80,-0.4019,2016-03-25
81,0.1547923076923077,2016-03-26
82,0.3192125,2016-03-27
83,0.01262727272727271,2016-03-28
84,0.07855999999999999,2016-03-29
85,0.35502857142857147,2016-03-30
86,0.5480857142857143,2016-03-31
87,0.13210000000000002,2016-04-01
88,0.19951111111111114,2016-04-02
89,0.3525923076923077,2016-04-03
90,0.6100777777777778,2016-04-04
91,0.3131083333333333,2016-04-05
92,0.9196,2016-04-06
93,0.260575,2016-04-07
94,0.24475384615384618,2016-04-08
95,0.481823076923077,2016-04-09
96,0.15984666666666666,2016-04-10
97,0.4036357142857142,2016-04-11
98,0.6536799999999999,2016-04-12
99,0.297775,2016-04-13
100,0.36443333333333333,2016-04-14
101,0.5229333333333334,2016-04-15
102,0.4907214285714286,2016-04-16
103,0.30795,2016-04-17
104,-0.35836,2016-04-18
105,0.24316875,2016-04-19
106,0.35966,2016-04-20
107,0.26461428571428564,2016-04-21
108,0.609175,2016-04-22
109,0.2990888888888889,2016-04-23
110,0.5910875,2016-04-24
111,-0.12707272727272728,2016-04-25
112,0.14015714285714284,2016-04-26
113,0.5213533333333333,2016-04-27
114,0.4479785714285714,2016-04-28
115,0.19885555555555556,2016-04-29
116,0.29368333333333335,2016-04-30
117,0.29221111111111114,2016-05-01
118,0.43921666666666664,2016-05-02
119,0.5872333333333334,2016-05-03
120,0.4791571428571429,2016-05-04
121,0.010560000000000003,2016-05-05
122,0.1800733333333334,2016-05-06
123,0.03824999999999999,2016-05-07
124,0.2763714285714286,2016-05-08
125,0.1577,2016-05-09
126,0.21425000000000002,2016-05-10
127,0.03933125,2016-05-11
128,0.7011000000000001,2016-05-12
129,0.37296666666666667,2016-05-13
130,-0.15009999999999998,2016-05-14
131,0.15360000000000001,2016-05-15
132,-0.2511285714285714,2016-05-16
133,-0.07820555555555558,2016-05-17
134,0.3936733333333334,2016-05-18
135,-0.03834,2016-05-19
136,0.24138,2016-05-20
137,-0.049929999999999995,2016-05-21
138,-0.07539090909090908,2016-05-22
139,0.373325,2016-05-23
140,-0.007160000000000001,2016-05-24
141,0.30457222222222224,2016-05-25
142,0.2631,2016-05-26
143,0.69316,2016-05-27
144,0.12986363636363638,2016-05-28
145,0.5398333333333333,2016-05-29
146,0.2675230769230769,2016-05-30
147,0.4404666666666667,2016-05-31
148,-0.4747333333333334,2016-06-01
149,0.02915714285714285,2016-06-02
150,0.40393,2016-06-03
151,0.35685555555555554,2016-06-04
152,-0.4848333333333333,2016-06-05
153,0.007219999999999993,2016-06-06
154,0.15207500000000002,2016-06-07
155,0.25695,2016-06-08
156,0.3157846153846154,2016-06-09
157,0.36492857142857144,2016-06-10
158,0.24146363636363635,2016-06-11
159,-0.302425,2016-06-12
160,-0.22970833333333332,2016-06-13
161,0.32757142857142857,2016-06-14
162,0.08828888888888889,2016-06-15
163,0.26004285714285713,2016-06-16
164,0.3973500000000001,2016-06-17
165,0.49914,2016-06-18
166,-0.03305000000000002,2016-06-19
167,0.4681,2016-06-20
168,-0.3690833333333334,2016-06-21
169,0.05357999999999998,2016-06-22
170,0.28378333333333333,2016-06-23
171,0.3194214285714286,2016-06-24
172,0.11910000000000001,2016-06-25
173,-0.1316823529411765,2016-06-26
174,-0.16629999999999998,2016-06-27
175,-0.1980454545454546,2016-06-28
176,0.43047777777777774,2016-06-29
177,0.27349166666666663,2016-06-30
178,-0.12845,2016-07-01
179,0.04274285714285714,2016-07-02
180,0.024850000000000004,2016-07-03
181,-0.06566923076923076,2016-07-04
182,-0.023360000000000013,2016-07-05
183,-0.13008124999999998,2016-07-06
184,0.28591666666666665,2016-07-07
185,-0.35591666666666666,2016-07-08
186,0.6488,2016-07-09
187,-0.4619,2016-07-10
188,0.2106,2016-07-11
189,0.061085714285714285,2016-07-12
190,0.14021333333333333,2016-07-13
191,0.061899999999999976,2016-07-14
192,-0.13685,2016-07-15
193,-0.005014285714285709,2016-07-16
194,-0.1122764705882353,2016-07-17
195,0.3918000000000001,2016-07-18
196,0.5084714285714286,2016-07-19
197,0.38765000000000005,2016-07-20
198,0.45524117647058826,2016-07-21
199,0.5029142857142858,2016-07-22
200,-0.29047500000000004,2016-07-23
201,-0.15045,2016-07-24
202,0.032211111111111114,2016-07-25
203,-0.18872000000000003,2016-07-26
204,0.030847368421052623,2016-07-27
205,0.1623176470588235,2016-07-28
206,-0.22743571428571432,2016-07-29
207,0.03391538461538461,2016-07-30
208,-0.35234,2016-07-31
209,-0.03882727272727274,2016-08-01
210,0.12007857142857145,2016-08-02
211,0.4862714285714286,2016-08-03
212,0.56698,2016-08-04
213,-0.10279999999999999,2016-08-05
214,-0.22167499999999998,2016-08-06
215,-0.008785714285714301,2016-08-07
216,0.3037615384615385,2016-08-08
217,0.4500454545454545,2016-08-09
218,-0.012940000000000004,2016-08-10
219,0.239125,2016-08-11
220,0.0031300000000000104,2016-08-12
221,0.57645,2016-08-13
222,-0.3062875,2016-08-14
223,-0.08778,2016-08-15
224,-0.12725,2016-08-16
225,0.004739999999999989,2016-08-17
226,0.0,2016-08-18
227,0.3309875,2016-08-19
228,0.26268888888888886,2016-08-20
229,0.6886749999999999,2016-08-21
230,0.041761538461538475,2016-08-22
231,0.1402875,2016-08-23
232,0.4415375,2016-08-24
233,-0.07670999999999999,2016-08-25
234,-0.0645894736842105,2016-08-26
235,0.051787499999999986,2016-08-27
236,0.2635222222222222,2016-08-28
237,-0.49382727272727284,2016-08-29
238,0.19741666666666666,2016-08-30
239,0.37236,2016-08-31
240,0.39276,2016-09-01
241,0.33394,2016-09-02
242,0.28885999999999995,2016-09-03
243,-0.2305222222222222,2016-09-04
244,-0.03358181818181817,2016-09-05
245,0.40797,2016-09-06
246,0.2364,2016-09-07
247,0.3544076923076923,2016-09-08
248,0.04809,2016-09-09
249,0.33887500000000004,2016-09-10
250,-0.44975,2016-09-11
251,0.22236666666666668,2016-09-12
252,0.4292888888888889,2016-09-13
253,0.4578,2016-09-14
254,0.41756666666666664,2016-09-15
255,0.6174333333333334,2016-09-16
256,-0.22392857142857142,2016-09-17
257,0.6804,2016-09-18
258,-0.12275555555555556,2016-09-19
259,0.25791,2016-09-20
260,0.3463857142857143,2016-09-21
261,0.4484,2016-09-22
262,0.16367142857142855,2016-09-23
263,0.19982857142857144,2016-09-24
264,-0.0561,2016-09-25
265,0.13355000000000003,2016-09-26
266,0.2914745098039216,2016-09-27