state,abortion,corruption,economy,education,environment,gun,health,immigration,tax,party
Alaska,0.038,0.14,0.26,0.058,0.019,0.096,0.058,0.13,0.2,Republicans
Alabama,0.024,0.18,0.3,0.071,0.027,0.051,0.062,0.13,0.15,Republicans
Arkansas,0.032,0.11,0.3,0.068,0.068,0.082,0.032,0.12,0.18,Republicans
Arizona,0.02,0.1,0.27,0.098,0.051,0.079,0.044,0.13,0.2,Republicans
California,0.026,0.084,0.28,0.088,0.052,0.083,0.042,0.11,0.23,Democrats
Colorado,0.019,0.06,0.29,0.098,0.05,0.074,0.041,0.12,0.25,Swing State
Connecticut,0.019,0.071,0.28,0.11,0.058,0.094,0.065,0.12,0.19,Democrats
Delaware,0.013,0.11,0.31,0.027,0.04,0.093,0.04,0.15,0.23,Swing State
Florida,0.021,0.12,0.29,0.07,0.039,0.087,0.052,0.13,0.19,Swing State
Georgia,0.02,0.089,0.29,0.09,0.04,0.11,0.035,0.12,0.21,Republicans
Hawaii,0.027,0.081,0.36,0.09,0.036,0.072,0.045,0.14,0.14,Democrats
Iowa,0.029,0.087,0.3,0.12,0.053,0.072,0.019,0.12,0.2,Swing State
Idaho,0.032,0.097,0.22,0.073,0.056,0.073,0.056,0.12,0.27,Republicans
Illinois,0.033,0.068,0.3,0.089,0.054,0.069,0.04,0.13,0.22,Democrats
Indiana,0.037,0.11,0.29,0.077,0.059,0.085,0.037,0.12,0.19,Republicans
Kansas,0.035,0.064,0.25,0.12,0.076,0.083,0.032,0.11,0.23,Republicans
Kentucky,0.034,0.1,0.31,0.079,0.048,0.065,0.042,0.11,0.21,Republicans
Louisiana,0.046,0.13,0.27,0.09,0.037,0.09,0.07,0.1,0.16,Republicans
Massachusetts,0.014,0.088,0.28,0.087,0.061,0.08,0.03,0.09,0.27,Democrats
Maryland,0.021,0.087,0.29,0.095,0.047,0.097,0.038,0.12,0.21,Democrats
Maine,0.011,0.17,0.26,0.09,0.067,0.13,0.067,0.079,0.12,Democrats
Michigan,0.018,0.084,0.3,0.079,0.059,0.084,0.041,0.093,0.25,Democrats
Minnesota,0.028,0.1,0.26,0.089,0.063,0.089,0.028,0.11,0.24,Democrats
Missouri,0.037,0.097,0.26,0.074,0.052,0.081,0.054,0.13,0.21,Democrats
Mississippi,0.036,0.11,0.34,0.042,0.036,0.067,0.048,0.12,0.21,Republicans
Montana,0.039,0.11,0.24,0.088,0.059,0.078,0.059,0.13,0.21,Republicans
North Carolina,0.019,0.11,0.28,0.083,0.049,0.11,0.043,0.097,0.22,Swing State
North Dakota,0.024,0.15,0.32,0.17,0.049,0.024,0.024,0.024,0.22,Republicans
Nebraska,0.028,0.099,0.33,0.13,0.05,0.071,0.05,0.11,0.14,Republicans
New Hampshire,0.011,0.11,0.32,0.07,0.059,0.092,0.022,0.097,0.22,Swing State
New Jersey,0.027,0.099,0.31,0.096,0.044,0.082,0.035,0.088,0.22,Democrats
New Mexico,0.034,0.083,0.28,0.076,0.055,0.069,0.034,0.13,0.24,Swing State
Nevada,0.01,0.15,0.29,0.08,0.043,0.058,0.045,0.12,0.21,Swing State
New York,0.02,0.095,0.31,0.081,0.052,0.085,0.044,0.11,0.21,Democrats
Ohio,0.029,0.088,0.28,0.095,0.053,0.074,0.045,0.11,0.22,Swing State
Oklahoma,0.03,0.1,0.27,0.073,0.04,0.073,0.04,0.15,0.22,Republicans
Oregon,0.019,0.086,0.31,0.096,0.052,0.08,0.037,0.1,0.22,Democrats
Pennsylvania,0.027,0.086,0.27,0.082,0.063,0.1,0.051,0.1,0.22,Democrats
Rhode Island,0.0081,0.065,0.36,0.097,0.073,0.089,0.016,0.089,0.2,Democrats
South Carolina,0.0093,0.14,0.31,0.049,0.039,0.081,0.042,0.14,0.19,Republicans
South Dakota,0.12,0.12,0.21,0.12,0.029,0.059,0,0.15,0.21,Republicans
Tennessee,0.03,0.1,0.3,0.087,0.052,0.061,0.065,0.11,0.2,Republicans
Texas,0.026,0.12,0.27,0.09,0.037,0.08,0.047,0.12,0.21,Republicans
Utah,0.022,0.087,0.25,0.093,0.038,0.082,0.071,0.12,0.23,Republicans
Virginia,0.024,0.12,0.29,0.089,0.037,0.084,0.044,0.11,0.21,Swing State
Vermont,0,0.068,0.32,0.085,0.051,0.034,0.12,0.15,0.17,Democrats
Washington,0.024,0.064,0.28,0.1,0.057,0.085,0.025,0.12,0.24,Democrats
Wisconsin,0.033,0.11,0.3,0.082,0.038,0.066,0.041,0.11,0.21,Swing State
West Virginia,0.033,0.16,0.28,0.073,0.081,0.065,0.016,0.12,0.17,Republicans
Wyoming,0,0.11,0.24,0.054,0.11,0.081,0.11,0.14,0.16,Republicans