key,value,date
#Clinton,0.0,07/13/16
#Clinton,0.026,07/14/16
#Clinton,0.0,07/15/16
#Clinton,0.0,07/16/16
#Clinton,0.0,07/17/16
#Clinton,0.0,07/18/16
#Clinton,0.0,07/19/16
#Clinton,0.0,07/20/16
#Clinton,0.0,07/21/16
#Clinton,0.02,07/22/16
#Clinton,0.0,07/23/16
#Clinton,0.051,07/24/16
#Clinton,0.0093,07/25/16
#Clinton,0.0,07/26/16
#Clinton,0.0,07/27/16
#Clinton,0.047,07/28/16
#Clinton,0.082,07/29/16
#Clinton,0.081,07/30/16
#Clinton,0.051,07/31/16
#Clinton,0.061,08/01/16
#Clinton,0.04,08/02/16
#Clinton,0.045,08/03/16
#Clinton,0.026,08/04/16
#Clinton,0.05,08/05/16
#Clinton,0.024,08/06/16
#Clinton,0.0,08/07/16
#Clinton,0.0,08/08/16
#Clinton,0.0,08/09/16
#Clinton,0.11,08/10/16
#Clinton,0.059,08/11/16
#Clinton,0.051,08/12/16
#Clinton,0.055,08/13/16
#Clinton,0.0,08/14/16
#Clinton,0.0,08/15/16
#Clinton,0.0,08/16/16
#Clinton,0.0,08/17/16
#Clinton,0.0,08/18/16
#Clinton,0.0,08/19/16
#Clinton,0.0,08/20/16
#Clinton,0.0,08/21/16
#Clinton,0.0,08/22/16
#Clinton,0.0,08/23/16
#Clinton,0.0,08/24/16
#Clinton,0.0,08/25/16
#Clinton,0.0,08/26/16
#Clinton,0.0,08/27/16
#Clinton,0.0,08/28/16
#Clinton,0.0,08/29/16
#Clinton,0.029,08/30/16
#Clinton,0.04,08/31/16
#Clinton,0.038,09/01/16
#Clinton,0.058,09/02/16
#Clinton,0.063,09/03/16
#Clinton,0.016,09/04/16
#Clinton,0.0,09/05/16
#Clinton,0.066,09/06/16
#Clinton,0.066,09/07/16
#Clinton,0.062,09/08/16
#Clinton,0.059,09/09/16
#Clinton,0.036,09/10/16
#Clinton,0.097,09/11/16
#Clinton,0.12,09/12/16
#Clinton,0.078,09/13/16
#Clinton,0.078,09/14/16
#Clinton,0.051,09/15/16
#Clinton,0.044,09/16/16
#Clinton,0.041,09/17/16
#Clinton,0.053,09/18/16
#Clinton,0.066,09/19/16
#Clinton,0.046,09/20/16
#Clinton,0.047,09/21/16
#Clinton,0.066,09/22/16
#Clinton,0.062,09/23/16
#Clinton,0.075,09/24/16
#Clinton,0.058,09/25/16
#Clinton,0.084,09/26/16
#Clinton,0.084,09/27/16
#Clinton,0.069,09/28/16
#Clinton,0.062,09/29/16
#Clinton,0.066,09/30/16
#Clinton,0.066,10/01/16
#Clinton,0.053,10/02/16
#Clinton,0.07,10/03/16
#Clinton,0.07,10/04/16
#Clinton,0.052,10/05/16
#Clinton,0.047,10/06/16
#Clinton,0.06,10/07/16
#Clinton,0.063,10/08/16
#Clinton,0.053,10/09/16
#Clinton,0.092,10/10/16
#Clinton,0.054,10/11/16
#Clinton,0.092,10/12/16
#Clinton,0.083,10/13/16
#Clinton,0.085,10/14/16
#Clinton,0.069,10/15/16
#Clinton,0.067,10/16/16
#Clinton,0.099,10/17/16
#Clinton,0.094,10/18/16
#Clinton,0.047,10/19/16
#Clinton,0.067,10/20/16
#Clinton,0.076,10/21/16
#Clinton,0.049,10/22/16
#Clinton,0.039,10/23/16
#Clinton,0.055,10/24/16
#Clinton,0.059,10/25/16
#Clinton,0.061,10/26/16
#Clinton,0.057,10/27/16
#Clinton,0.061,10/28/16
#Clinton,0.095,10/29/16
#Clinton,0.064,10/30/16
#Clinton,0.072,10/31/16
#Clinton,0.082,11/01/16
#Clinton,0.078,11/02/16
#Clinton,0.13,11/03/16
#Clinton,0.082,11/04/16
#Clinton,0.082,11/05/16
#Clinton,0.072,11/06/16
#Clinton,0.076,11/07/16
#Clinton,0.044,11/08/16
#Clinton,0.046,11/09/16
#Clinton,0.034,11/10/16
#DrainTheSwamp,0.0,07/13/16
#DrainTheSwamp,0.0,07/14/16
#DrainTheSwamp,0.0,07/15/16
#DrainTheSwamp,0.0,07/16/16
#DrainTheSwamp,0.0,07/17/16
#DrainTheSwamp,0.0,07/18/16
#DrainTheSwamp,0.0,07/19/16
#DrainTheSwamp,0.0,07/20/16
#DrainTheSwamp,0.0,07/21/16
#DrainTheSwamp,0.0,07/22/16
#DrainTheSwamp,0.0,07/23/16
#DrainTheSwamp,0.0,07/24/16
#DrainTheSwamp,0.0,07/25/16
#DrainTheSwamp,0.0,07/26/16
#DrainTheSwamp,0.0,07/27/16
#DrainTheSwamp,0.0,07/28/16
#DrainTheSwamp,0.0,07/29/16
#DrainTheSwamp,0.0,07/30/16
#DrainTheSwamp,0.0,07/31/16
#DrainTheSwamp,0.0,08/01/16
#DrainTheSwamp,0.0,08/02/16
#DrainTheSwamp,0.0,08/03/16
#DrainTheSwamp,0.0,08/04/16
#DrainTheSwamp,0.0,08/05/16
#DrainTheSwamp,0.0,08/06/16
#DrainTheSwamp,0.0,08/07/16
#DrainTheSwamp,0.0,08/08/16
#DrainTheSwamp,0.0,08/09/16
#DrainTheSwamp,0.0,08/10/16
#DrainTheSwamp,0.0,08/11/16
#DrainTheSwamp,0.0,08/12/16
#DrainTheSwamp,0.0,08/13/16
#DrainTheSwamp,0.0,08/14/16
#DrainTheSwamp,0.0,08/15/16
#DrainTheSwamp,0.0,08/16/16
#DrainTheSwamp,0.0,08/17/16
#DrainTheSwamp,0.0,08/18/16
#DrainTheSwamp,0.0,08/19/16
#DrainTheSwamp,0.0,08/20/16
#DrainTheSwamp,0.0,08/21/16
#DrainTheSwamp,0.0,08/22/16
#DrainTheSwamp,0.0,08/23/16
#DrainTheSwamp,0.0,08/24/16
#DrainTheSwamp,0.0,08/25/16
#DrainTheSwamp,0.0,08/26/16
#DrainTheSwamp,0.0,08/27/16
#DrainTheSwamp,0.0,08/28/16
#DrainTheSwamp,0.0,08/29/16
#DrainTheSwamp,0.0,08/30/16
#DrainTheSwamp,0.0,08/31/16
#DrainTheSwamp,0.0,09/01/16
#DrainTheSwamp,0.0,09/02/16
#DrainTheSwamp,0.0,09/03/16
#DrainTheSwamp,0.0,09/04/16
#DrainTheSwamp,0.0,09/05/16
#DrainTheSwamp,0.0,09/06/16
#DrainTheSwamp,0.0,09/07/16
#DrainTheSwamp,0.0,09/08/16
#DrainTheSwamp,0.0,09/09/16
#DrainTheSwamp,0.0,09/10/16
#DrainTheSwamp,0.0,09/11/16
#DrainTheSwamp,0.0,09/12/16
#DrainTheSwamp,0.0,09/13/16
#DrainTheSwamp,0.0,09/14/16
#DrainTheSwamp,0.0,09/15/16
#DrainTheSwamp,0.0,09/16/16
#DrainTheSwamp,0.0,09/17/16
#DrainTheSwamp,0.0,09/18/16
#DrainTheSwamp,0.0,09/19/16
#DrainTheSwamp,0.0,09/20/16
#DrainTheSwamp,0.0,09/21/16
#DrainTheSwamp,0.0,09/22/16
#DrainTheSwamp,0.0,09/23/16
#DrainTheSwamp,0.0,09/24/16
#DrainTheSwamp,0.0,09/25/16
#DrainTheSwamp,0.0,09/26/16
#DrainTheSwamp,0.0,09/27/16
#DrainTheSwamp,0.0,09/28/16
#DrainTheSwamp,0.0,09/29/16
#DrainTheSwamp,0.0,09/30/16
#DrainTheSwamp,0.0,10/01/16
#DrainTheSwamp,0.0,10/02/16
#DrainTheSwamp,0.0,10/03/16
#DrainTheSwamp,0.0,10/04/16
#DrainTheSwamp,0.0,10/05/16
#DrainTheSwamp,0.0,10/06/16
#DrainTheSwamp,0.0,10/07/16
#DrainTheSwamp,0.0,10/08/16
#DrainTheSwamp,0.0,10/09/16
#DrainTheSwamp,0.0,10/10/16
#DrainTheSwamp,0.0,10/11/16
#DrainTheSwamp,0.0,10/12/16
#DrainTheSwamp,0.0,10/13/16
#DrainTheSwamp,0.0,10/14/16
#DrainTheSwamp,0.0,10/15/16
#DrainTheSwamp,0.0,10/16/16
#DrainTheSwamp,0.0,10/17/16
#DrainTheSwamp,0.16,10/18/16
#DrainTheSwamp,0.39,10/19/16
#DrainTheSwamp,0.32,10/20/16
#DrainTheSwamp,0.17,10/21/16
#DrainTheSwamp,0.22,10/22/16
#DrainTheSwamp,0.17,10/23/16
#DrainTheSwamp,0.17,10/24/16
#DrainTheSwamp,0.19,10/25/16
#DrainTheSwamp,0.098,10/26/16
#DrainTheSwamp,0.15,10/27/16
#DrainTheSwamp,0.15,10/28/16
#DrainTheSwamp,0.11,10/29/16
#DrainTheSwamp,0.085,10/30/16
#DrainTheSwamp,0.14,10/31/16
#DrainTheSwamp,0.081,11/01/16
#DrainTheSwamp,0.13,11/02/16
#DrainTheSwamp,0.11,11/03/16
#DrainTheSwamp,0.073,11/04/16
#DrainTheSwamp,0.055,11/05/16
#DrainTheSwamp,0.09,11/06/16
#DrainTheSwamp,0.081,11/07/16
#DrainTheSwamp,0.015,11/08/16
#DrainTheSwamp,0.0051,11/09/16
#DrainTheSwamp,0.0,11/10/16
#Election16,0.61,07/13/16
#Election16,0.85,07/14/16
#Election16,0.34,07/15/16
#Election16,0.27,07/16/16
#Election16,0.51,07/17/16
#Election16,0.74,07/18/16
#Election16,0.43,07/19/16
#Election16,0.46,07/20/16
#Election16,0.49,07/21/16
#Election16,0.21,07/22/16
#Election16,0.54,07/23/16
#Election16,0.32,07/24/16
#Election16,0.33,07/25/16
#Election16,0.33,07/26/16
#Election16,0.37,07/27/16
#Election16,0.11,07/28/16
#Election16,0.082,07/29/16
#Election16,0.071,07/30/16
#Election16,0.083,07/31/16
#Election16,0.061,08/01/16
#Election16,0.037,08/02/16
#Election16,0.039,08/03/16
#Election16,0.031,08/04/16
#Election16,0.021,08/05/16
#Election16,0.016,08/06/16
#Election16,0.0,08/07/16
#Election16,0.0,08/08/16
#Election16,0.0,08/09/16
#Election16,0.031,08/10/16
#Election16,0.034,08/11/16
#Election16,0.044,08/12/16
#Election16,0.032,08/13/16
#Election16,0.0,08/14/16
#Election16,0.0,08/15/16
#Election16,0.0,08/16/16
#Election16,0.0,08/17/16
#Election16,0.0,08/18/16
#Election16,0.0,08/19/16
#Election16,0.0,08/20/16
#Election16,0.0,08/21/16
#Election16,0.0,08/22/16
#Election16,0.0,08/23/16
#Election16,0.0,08/24/16
#Election16,0.0,08/25/16
#Election16,0.0,08/26/16
#Election16,0.0,08/27/16
#Election16,0.0,08/28/16
#Election16,0.0,08/29/16
#Election16,0.047,08/30/16
#Election16,0.028,08/31/16
#Election16,0.031,09/01/16
#Election16,0.029,09/02/16
#Election16,0.027,09/03/16
#Election16,0.047,09/04/16
#Election16,0.0,09/05/16
#Election16,0.058,09/06/16
#Election16,0.043,09/07/16
#Election16,0.039,09/08/16
#Election16,0.029,09/09/16
#Election16,0.026,09/10/16
#Election16,0.03,09/11/16
#Election16,0.044,09/12/16
#Election16,0.066,09/13/16
#Election16,0.041,09/14/16
#Election16,0.057,09/15/16
#Election16,0.046,09/16/16
#Election16,0.05,09/17/16
#Election16,0.049,09/18/16
#Election16,0.034,09/19/16
#Election16,0.056,09/20/16
#Election16,0.053,09/21/16
#Election16,0.034,09/22/16
#Election16,0.044,09/23/16
#Election16,0.045,09/24/16
#Election16,0.033,09/25/16
#Election16,0.078,09/26/16
#Election16,0.048,09/27/16
#Election16,0.06,09/28/16
#Election16,0.058,09/29/16
#Election16,0.042,09/30/16
#Election16,0.049,10/01/16
#Election16,0.051,10/02/16
#Election16,0.031,10/03/16
#Election16,0.041,10/04/16
#Election16,0.058,10/05/16
#Election16,0.068,10/06/16
#Election16,0.065,10/07/16
#Election16,0.04,10/08/16
#Election16,0.048,10/09/16
#Election16,0.047,10/10/16
#Election16,0.064,10/11/16
#Election16,0.072,10/12/16
#Election16,0.046,10/13/16
#Election16,0.048,10/14/16
#Election16,0.06,10/15/16
#Election16,0.051,10/16/16
#Election16,0.059,10/17/16
#Election16,0.054,10/18/16
#Election16,0.069,10/19/16
#Election16,0.049,10/20/16
#Election16,0.067,10/21/16
#Election16,0.047,10/22/16
#Election16,0.042,10/23/16
#Election16,0.083,10/24/16
#Election16,0.063,10/25/16
#Election16,0.073,10/26/16
#Election16,0.088,10/27/16
#Election16,0.096,10/28/16
#Election16,0.1,10/29/16
#Election16,0.066,10/30/16
#Election16,0.093,10/31/16
#Election16,0.085,11/01/16
#Election16,0.06,11/02/16
#Election16,0.049,11/03/16
#Election16,0.063,11/04/16
#Election16,0.058,11/05/16
#Election16,0.093,11/06/16
#Election16,0.22,11/07/16
#Election16,0.5,11/08/16
#Election16,0.37,11/09/16
#Election16,0.3,11/10/16
#Hillary,0.0,07/13/16
#Hillary,0.0,07/14/16
#Hillary,0.028,07/15/16
#Hillary,0.0,07/16/16
#Hillary,0.0,07/17/16
#Hillary,0.0,07/18/16
#Hillary,0.0,07/19/16
#Hillary,0.018,07/20/16
#Hillary,0.026,07/21/16
#Hillary,0.01,07/22/16
#Hillary,0.024,07/23/16
#Hillary,0.0,07/24/16
#Hillary,0.0093,07/25/16
#Hillary,0.014,07/26/16
#Hillary,0.0079,07/27/16
#Hillary,0.028,07/28/16
#Hillary,0.048,07/29/16
#Hillary,0.061,07/30/16
#Hillary,0.067,07/31/16
#Hillary,0.052,08/01/16
#Hillary,0.036,08/02/16
#Hillary,0.034,08/03/16
#Hillary,0.038,08/04/16
#Hillary,0.044,08/05/16
#Hillary,0.054,08/06/16
#Hillary,0.0,08/07/16
#Hillary,0.0,08/08/16
#Hillary,0.0,08/09/16
#Hillary,0.031,08/10/16
#Hillary,0.031,08/11/16
#Hillary,0.055,08/12/16
#Hillary,0.058,08/13/16
#Hillary,0.0,08/14/16
#Hillary,0.0,08/15/16
#Hillary,0.0,08/16/16
#Hillary,0.0,08/17/16
#Hillary,0.0,08/18/16
#Hillary,0.0,08/19/16
#Hillary,0.0,08/20/16
#Hillary,0.0,08/21/16
#Hillary,0.0,08/22/16
#Hillary,0.0,08/23/16
#Hillary,0.0,08/24/16
#Hillary,0.0,08/25/16
#Hillary,0.0,08/26/16
#Hillary,0.0,08/27/16
#Hillary,0.0,08/28/16
#Hillary,0.0,08/29/16
#Hillary,0.04,08/30/16
#Hillary,0.048,08/31/16
#Hillary,0.04,09/01/16
#Hillary,0.06,09/02/16
#Hillary,0.06,09/03/16
#Hillary,0.062,09/04/16
#Hillary,0.0,09/05/16
#Hillary,0.077,09/06/16
#Hillary,0.048,09/07/16
#Hillary,0.051,09/08/16
#Hillary,0.054,09/09/16
#Hillary,0.1,09/10/16
#Hillary,0.13,09/11/16
#Hillary,0.082,09/12/16
#Hillary,0.076,09/13/16
#Hillary,0.062,09/14/16
#Hillary,0.042,09/15/16
#Hillary,0.081,09/16/16
#Hillary,0.084,09/17/16
#Hillary,0.097,09/18/16
#Hillary,0.067,09/19/16
#Hillary,0.11,09/20/16
#Hillary,0.097,09/21/16
#Hillary,0.085,09/22/16
#Hillary,0.092,09/23/16
#Hillary,0.056,09/24/16
#Hillary,0.12,09/25/16
#Hillary,0.089,09/26/16
#Hillary,0.062,09/27/16
#Hillary,0.094,09/28/16
#Hillary,0.058,09/29/16
#Hillary,0.083,09/30/16
#Hillary,0.11,10/01/16
#Hillary,0.082,10/02/16
#Hillary,0.092,10/03/16
#Hillary,0.088,10/04/16
#Hillary,0.077,10/05/16
#Hillary,0.066,10/06/16
#Hillary,0.076,10/07/16
#Hillary,0.1,10/08/16
#Hillary,0.073,10/09/16
#Hillary,0.074,10/10/16
#Hillary,0.085,10/11/16
#Hillary,0.087,10/12/16
#Hillary,0.064,10/13/16
#Hillary,0.076,10/14/16
#Hillary,0.092,10/15/16
#Hillary,0.09,10/16/16
#Hillary,0.11,10/17/16
#Hillary,0.069,10/18/16
#Hillary,0.044,10/19/16
#Hillary,0.048,10/20/16
#Hillary,0.076,10/21/16
#Hillary,0.065,10/22/16
#Hillary,0.064,10/23/16
#Hillary,0.09,10/24/16
#Hillary,0.071,10/25/16
#Hillary,0.077,10/26/16
#Hillary,0.056,10/27/16
#Hillary,0.065,10/28/16
#Hillary,0.077,10/29/16
#Hillary,0.074,10/30/16
#Hillary,0.055,10/31/16
#Hillary,0.083,11/01/16
#Hillary,0.055,11/02/16
#Hillary,0.062,11/03/16
#Hillary,0.082,11/04/16
#Hillary,0.071,11/05/16
#Hillary,0.07,11/06/16
#Hillary,0.048,11/07/16
#Hillary,0.025,11/08/16
#Hillary,0.011,11/09/16
#Hillary,0.0064,11/10/16
#ImWithHer,0.11,07/13/16
#ImWithHer,0.026,07/14/16
#ImWithHer,0.0,07/15/16
#ImWithHer,0.068,07/16/16
#ImWithHer,0.081,07/17/16
#ImWithHer,0.0,07/18/16
#ImWithHer,0.032,07/19/16
#ImWithHer,0.018,07/20/16
#ImWithHer,0.051,07/21/16
#ImWithHer,0.041,07/22/16
#ImWithHer,0.073,07/23/16
#ImWithHer,0.0,07/24/16
#ImWithHer,0.019,07/25/16
#ImWithHer,0.085,07/26/16
#ImWithHer,0.071,07/27/16
#ImWithHer,0.08,07/28/16
#ImWithHer,0.16,07/29/16
#ImWithHer,0.11,07/30/16
#ImWithHer,0.085,07/31/16
#ImWithHer,0.079,08/01/16
#ImWithHer,0.079,08/02/16
#ImWithHer,0.06,08/03/16
#ImWithHer,0.055,08/04/16
#ImWithHer,0.071,08/05/16
#ImWithHer,0.045,08/06/16
#ImWithHer,0.0,08/07/16
#ImWithHer,0.0,08/08/16
#ImWithHer,0.0,08/09/16
#ImWithHer,0.062,08/10/16
#ImWithHer,0.047,08/11/16
#ImWithHer,0.062,08/12/16
#ImWithHer,0.078,08/13/16
#ImWithHer,0.0,08/14/16
#ImWithHer,0.0,08/15/16
#ImWithHer,0.0,08/16/16
#ImWithHer,0.0,08/17/16
#ImWithHer,0.0,08/18/16
#ImWithHer,0.0,08/19/16
#ImWithHer,0.0,08/20/16
#ImWithHer,0.0,08/21/16
#ImWithHer,0.0,08/22/16
#ImWithHer,0.0,08/23/16
#ImWithHer,0.0,08/24/16
#ImWithHer,0.0,08/25/16
#ImWithHer,0.0,08/26/16
#ImWithHer,0.0,08/27/16
#ImWithHer,0.0,08/28/16
#ImWithHer,0.0,08/29/16
#ImWithHer,0.083,08/30/16
#ImWithHer,0.058,08/31/16
#ImWithHer,0.052,09/01/16
#ImWithHer,0.058,09/02/16
#ImWithHer,0.087,09/03/16
#ImWithHer,0.07,09/04/16
#ImWithHer,0.0,09/05/16
#ImWithHer,0.063,09/06/16
#ImWithHer,0.087,09/07/16
#ImWithHer,0.09,09/08/16
#ImWithHer,0.056,09/09/16
#ImWithHer,0.078,09/10/16
#ImWithHer,0.044,09/11/16
#ImWithHer,0.076,09/12/16
#ImWithHer,0.067,09/13/16
#ImWithHer,0.065,09/14/16
#ImWithHer,0.061,09/15/16
#ImWithHer,0.072,09/16/16
#ImWithHer,0.072,09/17/16
#ImWithHer,0.069,09/18/16
#ImWithHer,0.069,09/19/16
#ImWithHer,0.054,09/20/16
#ImWithHer,0.062,09/21/16
#ImWithHer,0.056,09/22/16
#ImWithHer,0.063,09/23/16
#ImWithHer,0.11,09/24/16
#ImWithHer,0.11,09/25/16
#ImWithHer,0.068,09/26/16
#ImWithHer,0.11,09/27/16
#ImWithHer,0.082,09/28/16
#ImWithHer,0.067,09/29/16
#ImWithHer,0.098,09/30/16
#ImWithHer,0.076,10/01/16
#ImWithHer,0.094,10/02/16
#ImWithHer,0.093,10/03/16
#ImWithHer,0.093,10/04/16
#ImWithHer,0.077,10/05/16
#ImWithHer,0.084,10/06/16
#ImWithHer,0.091,10/07/16
#ImWithHer,0.047,10/08/16
#ImWithHer,0.058,10/09/16
#ImWithHer,0.062,10/10/16
#ImWithHer,0.066,10/11/16
#ImWithHer,0.07,10/12/16
#ImWithHer,0.066,10/13/16
#ImWithHer,0.079,10/14/16
#ImWithHer,0.04,10/15/16
#ImWithHer,0.057,10/16/16
#ImWithHer,0.054,10/17/16
#ImWithHer,0.05,10/18/16
#ImWithHer,0.026,10/19/16
#ImWithHer,0.053,10/20/16
#ImWithHer,0.055,10/21/16
#ImWithHer,0.057,10/22/16
#ImWithHer,0.05,10/23/16
#ImWithHer,0.035,10/24/16
#ImWithHer,0.047,10/25/16
#ImWithHer,0.052,10/26/16
#ImWithHer,0.065,10/27/16
#ImWithHer,0.045,10/28/16
#ImWithHer,0.065,10/29/16
